From_Station,To_Station,Departure_Time,Arrival_Time,Bus_Category,Fare_INR
AHMEDABAD,SURAT,05:05,09:45,VOLVO AC,680.0
AHMEDABAD,SURAT,05:35,10:15,VOLVO AC,680.0
AHMEDABAD,SURAT,06:05,12:00,VOLVO AC,666.0
AHMEDABAD,SURAT,06:30,11:10,VOLVO AC,666.0
AHMEDABAD,SURAT,07:00,11:15,VOLVO AC,621.0
AHMEDABAD,SURAT,07:05,13:00,VOLVO AC,666.0
AHMEDABAD,SURAT,07:30,12:15,VOLVO AC,680.0
AHMEDABAD,SURAT,08:00,12:45,VOLVO AC,666.0
AHMEDABAD,SURAT,08:30,13:15,VOLVO AC,680.0
AHMEDABAD,SURAT,09:00,13:40,VOLVO AC,666.0
AHMEDABAD,SURAT,09:35,14:15,VOLVO AC,680.0
AHMEDABAD,SURAT,10:00,14:45,VOLVO AC,666.0
AHMEDABAD,SURAT,10:35,15:15,VOLVO AC,680.0
AHMEDABAD,SURAT,11:05,15:45,VOLVO AC,680.0
AHMEDABAD,SURAT,11:45,16:05,VOLVO AC,650.0
AHMEDABAD,SURAT,12:34,17:14,VOLVO AC,680.0
AHMEDABAD,SURAT,13:05,17:45,VOLVO AC,680.0
AHMEDABAD,SURAT,13:35,18:15,VOLVO AC,680.0
AHMEDABAD,SURAT,14:10,18:15,VOLVO AC,621.0
AHMEDABAD,SURAT,14:35,19:10,VOLVO AC,666.0
AHMEDABAD,SURAT,15:01,19:16,VOLVO AC,621.0
AHMEDABAD,SURAT,15:30,20:05,VOLVO AC,650.0
AHMEDABAD,SURAT,16:00,20:35,VOLVO AC,650.0
AHMEDABAD,SURAT,16:25,21:30,VOLVO AC,680.0
AHMEDABAD,SURAT,16:45,21:40,VOLVO AC,680.0
AHMEDABAD,SURAT,17:01,21:31,VOLVO AC,680.0
AHMEDABAD,SURAT,17:05,22:00,VOLVO AC,666.0
AHMEDABAD,SURAT,17:30,22:10,VOLVO AC,666.0
AHMEDABAD,SURAT,18:05,22:45,VOLVO AC,680.0
AHMEDABAD,SURAT,18:35,23:15,VOLVO AC,680.0
AHMEDABAD,SURAT,19:00,23:30,VOLVO AC,680.0
AHMEDABAD,SURAT,19:20,00:00,VOLVO AC,680.0
AHMEDABAD,SURAT,19:45,01:30,VOLVO AC,666.0
AHMEDABAD,SURAT,20:35,01:15,VOLVO AC,680.0
AHMEDABAD,SURAT,21:20,02:00,VOLVO AC,680.0
AHMEDABAD,SURAT,22:20,03:00,VOLVO AC,680.0
AHMEDABAD,SURAT,23:30,04:30,VOLVO AC,666.0
AHMEDABAD,SURAT,12:15,16:55,AC LUXURY,474.0
AHMEDABAD,SURAT,00:30,07:00,SLEEPER,355.0
AHMEDABAD,SURAT,01:15,06:20,EXPRESS,355.0
AHMEDABAD,SURAT,01:15,06:20,EXPRESS,260.0
AHMEDABAD,SURAT,16:15,22:40,EXPRESS,359.0
AHMEDABAD,SURAT,16:15,22:40,EXPRESS,264.0
AHMEDABAD,SURAT,17:35,23:40,EXPRESS,359.0
AHMEDABAD,SURAT,17:35,23:40,EXPRESS,264.0
AHMEDABAD,SURAT,18:30,00:30,EXPRESS,355.0
AHMEDABAD,SURAT,18:30,00:30,EXPRESS,260.0
AHMEDABAD,SURAT,19:55,02:00,EXPRESS,355.0
AHMEDABAD,SURAT,19:55,02:00,EXPRESS,260.0
AHMEDABAD,SURAT,20:15,02:50,SLEEPER,359.0
AHMEDABAD,SURAT,20:15,02:50,EXPRESS,264.0
AHMEDABAD,SURAT,20:30,01:45,EXPRESS,355.0
AHMEDABAD,SURAT,20:30,01:45,EXPRESS,260.0
AHMEDABAD,SURAT,20:40,02:30,EXPRESS,350.0
AHMEDABAD,SURAT,20:40,02:30,EXPRESS,255.0
AHMEDABAD,SURAT,20:45,02:50,EXPRESS,359.0
AHMEDABAD,SURAT,20:45,02:50,EXPRESS,264.0
AHMEDABAD,SURAT,21:10,02:35,EXPRESS,359.0
AHMEDABAD,SURAT,21:10,02:45,EXPRESS,359.0
AHMEDABAD,SURAT,21:10,03:25,EXPRESS,355.0
AHMEDABAD,SURAT,21:10,02:35,EXPRESS,264.0
AHMEDABAD,SURAT,21:10,02:45,EXPRESS,264.0
AHMEDABAD,SURAT,21:10,03:25,EXPRESS,260.0
AHMEDABAD,SURAT,21:30,02:40,EXPRESS,359.0
AHMEDABAD,SURAT,21:30,03:15,EXPRESS,355.0
AHMEDABAD,SURAT,21:30,02:45,EXPRESS,355.0
AHMEDABAD,SURAT,21:30,02:35,EXPRESS,355.0
AHMEDABAD,SURAT,21:30,02:40,EXPRESS,264.0
AHMEDABAD,SURAT,21:30,03:15,EXPRESS,260.0
AHMEDABAD,SURAT,21:30,02:45,EXPRESS,260.0
AHMEDABAD,SURAT,21:30,02:35,EXPRESS,260.0
AHMEDABAD,SURAT,21:35,03:40,EXPRESS,355.0
AHMEDABAD,SURAT,21:35,03:40,EXPRESS,260.0
AHMEDABAD,SURAT,21:50,03:15,EXPRESS,359.0
AHMEDABAD,SURAT,21:50,03:30,SLEEPER,359.0
AHMEDABAD,SURAT,21:50,03:15,EXPRESS,264.0
AHMEDABAD,SURAT,21:50,03:30,SLEEPER,264.0
AHMEDABAD,SURAT,22:00,03:50,EXPRESS,359.0
AHMEDABAD,SURAT,22:00,03:50,EXPRESS,264.0
AHMEDABAD,SURAT,22:10,04:05,EXPRESS,359.0
AHMEDABAD,SURAT,22:10,04:05,EXPRESS,264.0
AHMEDABAD,SURAT,22:30,03:30,EXPRESS,355.0
AHMEDABAD,SURAT,22:30,03:30,EXPRESS,260.0
AHMEDABAD,SURAT,22:35,22:35,EXPRESS,350.0
AHMEDABAD,SURAT,22:35,22:35,EXPRESS,255.0
AHMEDABAD,SURAT,22:40,03:00,EXPRESS,359.0
AHMEDABAD,SURAT,22:40,03:00,EXPRESS,264.0
AHMEDABAD,SURAT,22:45,05:00,EXPRESS,359.0
AHMEDABAD,SURAT,22:45,04:15,EXPRESS,359.0
AHMEDABAD,SURAT,22:45,05:00,EXPRESS,264.0
AHMEDABAD,SURAT,22:45,04:15,EXPRESS,264.0
AHMEDABAD,SURAT,22:55,04:50,EXPRESS,359.0
AHMEDABAD,SURAT,22:55,04:30,EXPRESS,355.0
AHMEDABAD,SURAT,22:55,04:50,EXPRESS,264.0
AHMEDABAD,SURAT,22:55,04:30,EXPRESS,260.0
AHMEDABAD,SURAT,23:00,04:10,EXPRESS,359.0
AHMEDABAD,SURAT,23:00,04:10,EXPRESS,264.0
AHMEDABAD,SURAT,23:10,04:50,SLEEPER,359.0
AHMEDABAD,SURAT,23:10,04:50,EXPRESS,264.0
AHMEDABAD,SURAT,23:15,05:00,SLEEPER,355.0
AHMEDABAD,SURAT,23:15,05:45,SLEEPER,355.0
AHMEDABAD,SURAT,23:15,05:00,SLEEPER,260.0
AHMEDABAD,SURAT,23:15,05:45,SLEEPER,260.0
AHMEDABAD,SURAT,23:30,05:00,EXPRESS,359.0
AHMEDABAD,SURAT,23:30,04:45,SLEEPER,359.0
AHMEDABAD,SURAT,23:30,05:00,EXPRESS,264.0
AHMEDABAD,SURAT,23:30,04:45,SLEEPER,264.0
AHMEDABAD,SURAT,23:35,05:00,EXPRESS,359.0
AHMEDABAD,SURAT,23:35,05:00,EXPRESS,264.0
AHMEDABAD,SURAT,23:45,05:35,SLEEPER,355.0
AHMEDABAD,SURAT,23:45,05:35,SLEEPER,260.0
AHMEDABAD,SURAT,23:50,05:00,EXPRESS,359.0
AHMEDABAD,SURAT,23:50,05:00,SLEEPER,264.0
AHMEDABAD,SURAT,05:00,10:25,EXPRESS,264.0
AHMEDABAD,SURAT,08:30,14:10,EXPRESS,260.0
AHMEDABAD,SURAT,09:00,14:55,EXPRESS,264.0
AHMEDABAD,SURAT,09:10,15:00,EXPRESS,260.0
AHMEDABAD,SURAT,09:30,15:30,EXPRESS,264.0
AHMEDABAD,SURAT,10:10,15:30,EXPRESS,260.0
AHMEDABAD,SURAT,12:01,18:35,EXPRESS,260.0
AHMEDABAD,SURAT,12:40,18:30,EXPRESS,264.0
AHMEDABAD,SURAT,13:10,19:00,EXPRESS,264.0
AHMEDABAD,SURAT,13:15,17:45,EXPRESS,255.0
AHMEDABAD,SURAT,14:50,21:00,EXPRESS,264.0
AHMEDABAD,SURAT,15:30,20:30,EXPRESS,264.0
AHMEDABAD,SURAT,16:00,22:00,EXPRESS,260.0
AHMEDABAD,SURAT,16:10,22:10,EXPRESS,260.0
AHMEDABAD,SURAT,18:00,23:50,EXPRESS,264.0
AHMEDABAD,SURAT,18:10,23:40,EXPRESS,260.0
AHMEDABAD,SURAT,20:15,01:45,EXPRESS,264.0
AHMEDABAD,SURAT,21:40,04:00,EXPRESS,260.0
AHMEDABAD,SURAT,22:15,04:40,EXPRESS,260.0
AHMEDABAD,SURAT,04:45,10:30,EXPRESS,216.0
AHMEDABAD,SURAT,06:15,10:45,EXPRESS,214.0
AHMEDABAD,SURAT,06:35,12:05,EXPRESS,221.0
AHMEDABAD,SURAT,07:10,13:00,EXPRESS,219.0
AHMEDABAD,SURAT,07:15,12:30,EXPRESS,219.0
AHMEDABAD,SURAT,07:20,13:10,EXPRESS,219.0
AHMEDABAD,SURAT,07:40,13:50,EXPRESS,216.0
AHMEDABAD,SURAT,07:45,13:30,EXPRESS,216.0
AHMEDABAD,SURAT,07:50,13:55,EXPRESS,216.0
AHMEDABAD,SURAT,09:40,14:45,EXPRESS,216.0
AHMEDABAD,SURAT,09:40,15:40,EXPRESS,216.0
AHMEDABAD,SURAT,09:45,16:10,EXPRESS,219.0
AHMEDABAD,SURAT,10:05,16:05,EXPRESS,219.0
AHMEDABAD,SURAT,10:45,16:25,EXPRESS,219.0
AHMEDABAD,SURAT,10:45,16:30,EXPRESS,216.0
AHMEDABAD,SURAT,11:00,17:00,EXPRESS,214.0
AHMEDABAD,SURAT,11:10,17:15,EXPRESS,219.0
AHMEDABAD,SURAT,12:50,19:00,EXPRESS,219.0
AHMEDABAD,SURAT,13:15,19:15,EXPRESS,216.0
AHMEDABAD,SURAT,14:05,20:00,EXPRESS,216.0
AHMEDABAD,SURAT,14:15,20:45,EXPRESS,219.0
AHMEDABAD,SURAT,14:30,20:25,EXPRESS,216.0
AHMEDABAD,SURAT,15:00,21:25,EXPRESS,216.0
AHMEDABAD,SURAT,15:15,20:00,EXPRESS,219.0
AHMEDABAD,SURAT,15:30,21:25,EXPRESS,216.0
AHMEDABAD,SURAT,16:15,21:30,EXPRESS,216.0
AHMEDABAD,SURAT,17:30,00:30,EXPRESS,219.0
AHMEDABAD,SURAT,17:40,23:25,EXPRESS,219.0
AHMEDABAD,SURAT,18:20,23:35,EXPRESS,219.0
AHMEDABAD,SURAT,18:30,00:20,EXPRESS,216.0
AHMEDABAD,SURAT,19:30,00:55,EXPRESS,219.0
AHMEDABAD,SURAT,19:30,02:00,EXPRESS,216.0
AHMEDABAD,SURAT,20:00,01:30,GURJANAGRI,216.0
AHMEDABAD,SURAT,21:35,03:15,EXPRESS,216.0
AHMEDABAD,SURAT,23:50,05:20,EXPRESS,216.0
AHMEDABAD,SURAT,04:25,10:20,EXPRESS,231.0
AHMEDABAD,SURAT,05:45,11:15,EXPRESS,228.0
AHMEDABAD,SURAT,06:40,13:00,EXPRESS,231.0
AHMEDABAD,SURAT,07:50,13:10,EXPRESS,237.0
AHMEDABAD,SURAT,08:10,13:50,EXPRESS,237.0
AHMEDABAD,SURAT,08:15,14:35,EXPRESS,231.0
AHMEDABAD,SURAT,08:25,14:40,EXPRESS,237.0
AHMEDABAD,SURAT,08:50,15:05,EXPRESS,237.0
AHMEDABAD,SURAT,09:00,15:00,EXPRESS,237.0
AHMEDABAD,SURAT,09:00,15:20,EXPRESS,231.0
AHMEDABAD,SURAT,09:55,15:45,EXPRESS,237.0
AHMEDABAD,SURAT,10:10,15:25,EXPRESS,231.0
AHMEDABAD,SURAT,10:30,15:45,EXPRESS,237.0
AHMEDABAD,SURAT,10:40,16:05,EXPRESS,231.0
AHMEDABAD,SURAT,11:30,17:30,EXPRESS,231.0
AHMEDABAD,SURAT,12:00,18:20,EXPRESS,237.0
AHMEDABAD,SURAT,12:30,18:00,EXPRESS,231.0
AHMEDABAD,SURAT,12:55,19:00,GURJANAGRI,237.0
AHMEDABAD,SURAT,13:00,18:25,EXPRESS,231.0
AHMEDABAD,SURAT,13:30,19:30,EXPRESS,237.0
AHMEDABAD,SURAT,13:55,19:55,EXPRESS,237.0
AHMEDABAD,SURAT,14:45,19:15,GURJANAGRI,228.0
AHMEDABAD,SURAT,15:10,21:40,EXPRESS,237.0
AHMEDABAD,SURAT,15:25,21:30,EXPRESS,237.0
AHMEDABAD,SURAT,15:30,21:45,EXPRESS,231.0
AHMEDABAD,SURAT,16:00,20:05,EXPRESS,225.0
AHMEDABAD,SURAT,16:15,21:50,EXPRESS,231.0
AHMEDABAD,SURAT,17:15,23:00,EXPRESS,231.0
AHMEDABAD,SURAT,17:30,22:00,EXPRESS,228.0
AHMEDABAD,SURAT,18:40,01:05,GURJANAGRI,237.0
AHMEDABAD,SURAT,19:00,00:40,EXPRESS,231.0
AHMEDABAD,SURAT,19:10,01:15,EXPRESS,237.0
AHMEDABAD,SURAT,19:15,00:50,EXPRESS,231.0
AHMEDABAD,SURAT,20:30,02:00,EXPRESS,231.0
AHMEDABAD,SURAT,22:30,04:00,EXPRESS,237.0
AHMEDABAD,SURAT,22:35,04:20,EXPRESS,228.0
AHMEDABAD,SURAT,23:00,04:35,EXPRESS,231.0
AHMEDABAD,SURAT,23:15,05:25,EXPRESS,228.0
