From_Station,To_Station,Departure_Time,Arrival_Time,Bus_Category,Fare_INR
RAJKOT,BARODA,06:31,12:31,VOLVO AC,754.0
RAJKOT,BARODA,08:01,14:01,VOLVO AC,754.0
RAJKOT,BARODA,09:32,15:32,VOLVO AC,754.0
RAJKOT,BARODA,11:01,17:01,VOLVO AC,754.0
RAJKOT,BARODA,13:31,19:31,VOLVO AC,754.0
RAJKOT,BARODA,15:30,21:30,VOLVO AC,754.0
RAJKOT,BARODA,17:00,23:00,VOLVO AC,754.0
RAJKOT,BARODA,00:05,05:30,EXPRESS,371.0
RAJKOT,BARODA,00:05,05:30,SLEEPER,276.0
RAJKOT,BARODA,01:25,07:30,SLEEPER,378.0
RAJKOT,BARODA,01:25,07:30,EXPRESS,283.0
RAJKOT,BARODA,17:00,23:09,SLEEPER,368.0
RAJKOT,BARODA,17:00,23:09,SLEEPER,273.0
RAJKOT,BARODA,17:15,00:05,SLEEPER,368.0
RAJKOT,BARODA,17:15,00:05,SLEEPER,273.0
RAJKOT,BARODA,17:45,17:45,SLEEPER,368.0
RAJKOT,BARODA,17:45,17:45,SLEEPER,273.0
RAJKOT,BARODA,17:50,23:50,EXPRESS,378.0
RAJKOT,BARODA,17:50,23:50,EXPRESS,283.0
RAJKOT,BARODA,19:16,01:46,SLEEPER,378.0
RAJKOT,BARODA,19:16,01:46,SLEEPER,283.0
RAJKOT,BARODA,19:20,01:10,EXPRESS,367.0
RAJKOT,BARODA,19:20,01:10,EXPRESS,272.0
RAJKOT,BARODA,20:00,02:00,SLEEPER,367.0
RAJKOT,BARODA,20:00,02:00,SLEEPER,272.0
RAJKOT,BARODA,20:15,03:45,SLEEPER,378.0
RAJKOT,BARODA,20:15,03:45,SLEEPER,283.0
RAJKOT,BARODA,20:30,03:00,SLEEPER,368.0
RAJKOT,BARODA,20:30,03:00,SLEEPER,273.0
RAJKOT,BARODA,20:35,20:35,SLEEPER,368.0
RAJKOT,BARODA,20:55,03:45,SLEEPER,368.0
RAJKOT,BARODA,20:55,03:45,SLEEPER,273.0
RAJKOT,BARODA,21:00,03:40,EXPRESS,378.0
RAJKOT,BARODA,21:00,03:15,SLEEPER,378.0
RAJKOT,BARODA,21:00,03:40,EXPRESS,283.0
RAJKOT,BARODA,21:00,03:15,SLEEPER,283.0
RAJKOT,BARODA,21:05,02:45,EXPRESS,368.0
RAJKOT,BARODA,21:05,02:45,EXPRESS,273.0
RAJKOT,BARODA,21:30,03:30,SLEEPER,272.0
RAJKOT,BARODA,21:35,04:00,SLEEPER,378.0
RAJKOT,BARODA,21:35,04:00,SLEEPER,283.0
RAJKOT,BARODA,22:15,04:15,SLEEPER,368.0
RAJKOT,BARODA,22:15,04:15,SLEEPER,273.0
RAJKOT,BARODA,22:30,04:00,SLEEPER,368.0
RAJKOT,BARODA,22:30,04:00,SLEEPER,273.0
RAJKOT,BARODA,22:31,04:30,SLEEPER,367.0
RAJKOT,BARODA,22:31,04:30,SLEEPER,272.0
RAJKOT,BARODA,23:15,05:15,EXPRESS,367.0
RAJKOT,BARODA,23:15,05:15,EXPRESS,272.0
RAJKOT,BARODA,23:20,05:40,EXPRESS,374.0
RAJKOT,BARODA,23:20,05:40,EXPRESS,279.0
RAJKOT,BARODA,23:50,06:15,EXPRESS,367.0
RAJKOT,BARODA,23:50,06:15,EXPRESS,272.0
RAJKOT,BARODA,04:30,11:30,EXPRESS,298.0
RAJKOT,BARODA,05:30,12:00,EXPRESS,284.0
RAJKOT,BARODA,07:10,13:10,EXPRESS,273.0
RAJKOT,BARODA,07:45,14:00,AC LUXURY,272.0
RAJKOT,BARODA,07:50,15:15,EXPRESS,279.0
RAJKOT,BARODA,08:45,15:00,EXPRESS,272.0
RAJKOT,BARODA,09:50,16:45,EXPRESS,273.0
RAJKOT,BARODA,21:45,03:50,EXPRESS,273.0
RAJKOT,BARODA,01:05,07:35,EXPRESS,239.0
RAJKOT,BARODA,14:00,19:45,GURJANAGRI,230.0
RAJKOT,BARODA,15:05,21:40,EXPRESS,288.0
RAJKOT,BARODA,15:05,21:30,EXPRESS,237.0
RAJKOT,BARODA,15:46,15:46,GURJANAGRI,230.0
RAJKOT,BARODA,17:20,23:00,EXPRESS,230.0
RAJKOT,BARODA,17:35,00:40,EXPRESS,230.0
RAJKOT,BARODA,18:30,00:55,EXPRESS,239.0
RAJKOT,BARODA,20:00,02:20,GURJANAGRI,228.0
RAJKOT,BARODA,20:30,03:30,EXPRESS,234.0
RAJKOT,BARODA,09:10,15:35,EXPRESS,255.0
RAJKOT,BARODA,11:05,17:10,EXPRESS,245.0
RAJKOT,BARODA,11:45,18:00,EXPRESS,244.0
RAJKOT,BARODA,12:20,19:05,GURJANAGRI,245.0
RAJKOT,BARODA,12:30,19:05,GURJANAGRI,244.0
RAJKOT,BARODA,13:00,20:00,GURJANAGRI,244.0
RAJKOT,BARODA,13:10,19:45,GURJANAGRI,249.0
RAJKOT,BARODA,14:50,21:25,GURJANAGRI,245.0
RAJKOT,BARODA,16:30,22:45,EXPRESS,244.0
RAJKOT,BARODA,21:25,03:45,GURJANAGRI,244.0
